对i=i*(i+i)#进行SLR(1)分析法的分析过程如下
状态栈			符号栈		输入串		ACTION		GOTO	
0                 	#         	i=i*(i+i)#		S3		
0 3               	#i        	 =i*(i+i)#		R10		2
0 2               	#V        	 =i*(i+i)#		S4		
0 2 4             	#V=       	  i*(i+i)#		S9		
0 2 4 9           	#V=i      	   *(i+i)#		R9		7
0 2 4 7           	#V=F      	   *(i+i)#		R7		6
0 2 4 6           	#V=T      	   *(i+i)#		S12		
0 2 4 6 12        	#V=T*     	    (i+i)#		S8		
0 2 4 6 12 8      	#V=T*(    	     i+i)#		S9		
0 2 4 6 12 8 9    	#V=T*(i   	      +i)#		R9		7
0 2 4 6 12 8 7    	#V=T*(F   	      +i)#		R7		6
0 2 4 6 12 8 6    	#V=T*(T   	      +i)#		R4		14
0 2 4 6 12 8 14   	#V=T*(E   	      +i)#		S10		
0 2 4 6 12 8 14 10	#V=T*(E+  	       i)#		S9		
0 2 4 6 12 8 14 10 9	#V=T*(E+i 	        )#		R9		7
0 2 4 6 12 8 14 10 7	#V=T*(E+F 	        )#		R7		15
0 2 4 6 12 8 14 10 15	#V=T*(E+T 	        )#		R2		14
0 2 4 6 12 8 14   	#V=T*(E   	        )#		S19		
0 2 4 6 12 8 14 19	#V=T*(E)  	         #		R8		17
0 2 4 6 12 17     	#V=T*F    	         #		R5		6
0 2 4 6           	#V=T      	         #		R4		5
0 2 4 5           	#V=E      	         #		R1		1
0 1               	#A        	         #		acc

i=i*(i+i)#为合法字符串
