SLR(1)分析表如下
状态		ACTION					GOTO		
	=	+	-	*	/	(	)	i	#	A	V	E	T	F	
0	-1	-1	-1	-1	-1	-1	-1	S3	-1	1	2	-1	-1	-1	
1	-1	-1	-1	-1	-1	-1	-1	-1	acc	-1	-1	-1	-1	-1	
2	S4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
3	R10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
4	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	5	6	7	
5	-1	S10	S11	-1	-1	-1	-1	-1	R1	-1	-1	-1	-1	-1	
6	-1	R4	R4	S12	S13	-1	R4	-1	R4	-1	-1	-1	-1	-1	
7	-1	R7	R7	R7	R7	-1	R7	-1	R7	-1	-1	-1	-1	-1	
8	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	14	6	7	
9	-1	R9	R9	R9	R9	-1	R9	-1	R9	-1	-1	-1	-1	-1	
10	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	-1	15	7	
11	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	-1	16	7	
12	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	-1	-1	17	
13	-1	-1	-1	-1	-1	S8	-1	S9	-1	-1	-1	-1	-1	18	
14	-1	S10	S11	-1	-1	-1	S19	-1	-1	-1	-1	-1	-1	-1	
15	-1	R2	R2	S12	S13	-1	R2	-1	R2	-1	-1	-1	-1	-1	
16	-1	R3	R3	S12	S13	-1	R3	-1	R3	-1	-1	-1	-1	-1	
17	-1	R5	R5	R5	R5	-1	R5	-1	R5	-1	-1	-1	-1	-1	
18	-1	R6	R6	R6	R6	-1	R6	-1	R6	-1	-1	-1	-1	-1	
19	-1	R8	R8	R8	R8	-1	R8	-1	R8	-1	-1	-1	-1	-1	
